Hora;Precios_Mercado(euro/MW);Precio_CO2(euro/Tn);Demanda(GWh);Temperatura_max(.C);Temperatura_min(.C);Precipitacion(l/m2);Velocidad_media(km/h);Irradiancia (W/m2)
15;22.00;24.22;30.34;23;10.1;0;7.92;64
16;20.87;24.22;30.34;23;10.1;0;7.92;137
17;23.07;24.22;45.51;23;10.1;0;7.92;41
18;28.88;24.22;45.51;23;10.1;0;7.92;56
19;33.13;24.22;45.51;23;10.1;0;7.92;0
20;41.23;24.22;30.34;23;10.1;0;7.92;0
21;39.13;24.22;30.34;23;10.1;0;7.92;0
22;35.68;24.22;30.34;23;10.1;0;7.92;0
23;33.77;24.22;30.34;23;10.1;0;7.92;0
0;31.77;23.56;15.12;25.6;8.4;0;20.88;0
1;30.00;23.56;15.12;25.6;8.4;0;20.88;0
2;30.88;23.56;15.12;25.6;8.4;0;20.88;0
3;30.01;23.56;15.12;25.6;8.4;0;20.88;0
4;30.88;23.56;15.12;25.6;8.4;0;20.88;0
5;32.44;23.56;15.12;25.6;8.4;0;20.88;0
6;32.14;23.56;15.12;25.6;8.4;0;20.88;0
7;35.01;23.56;15.12;25.6;8.4;0;20.88;0
8;40.74;23.56;30.24;25.6;8.4;0;20.88;8
9;43.88;23.56;30.24;25.6;8.4;0;20.88;72
10;40.12;23.56;45.36;25.6;8.4;0;20.88;45
11;37.81;23.56;45.36;25.6;8.4;0;20.88;94
12;37.2;23.56;45.36;25.6;8.4;0;20.88;122
13;35.71;23.56;45.36;25.6;8.4;0;20.88;526.46
14;35.01;23.56;30.24;25.6;8.4;0;20.88;283
15;30.95;23.56;30.24;25.6;8.4;0;20.88;238
16;31.03;23.56;30.24;25.6;8.4;0;20.88;227
17;31.51;23.56;45.36;25.6;8.4;0;20.88;181
18;33.38;23.56;45.36;25.6;8.4;0;20.88;64
19;34.51;23.56;45.36;25.6;8.4;0;20.88;0
20;35.34;23.56;30.24;25.6;8.4;0;20.88;0
21;34.94;23.56;30.24;25.6;8.4;0;20.88;0
22;34.97;23.56;30.24;25.6;8.4;0;20.88;0
23;29.01;23.56;30.24;25.6;8.4;0;20.88;0
0;26.5;23.55;14.65;23.8;12.5;0;16.92;0
1;20.01;23.55;14.65;23.8;12.5;0;16.92;0
2;16.75;23.55;14.65;23.8;12.5;0;16.92;0
3;13.71;23.55;14.65;23.8;12.5;0;16.92;0
4;12.00;23.55;14.65;23.8;12.5;0;16.92;0
5;9.6;23.55;14.65;23.8;12.5;0;16.92;0
6;9.04;23.55;14.65;23.8;12.5;0;16.92;0
7;10.6;23.55;14.65;23.8;12.5;0;16.92;0
8;14.21;23.55;29.29;23.8;12.5;0;16.92;30.18
9;14.91;23.55;29.29;23.8;12.5;0;16.92;143
10;17.00;23.55;43.94;23.8;12.5;0;16.92;188
11;16.75;23.55;43.94;23.8;12.5;0;16.92;108
12;16.5;23.55;43.94;23.8;12.5;0;16.92;248
13;16.75;23.55;43.94;23.8;12.5;0;16.92;540.96
14;15.99;23.55;29.29;23.8;12.5;0;16.92;428
15;15.00;23.55;29.29;23.8;12.5;0;16.92;113
16;14.75;23.55;29.29;23.8;12.5;0;16.92;242
17;15.00;23.55;43.94;23.8;12.5;0;16.92;174
18;19.36;23.55;43.94;23.8;12.5;0;16.92;40
19;20.81;23.55;43.94;23.8;12.5;0;16.92;0
20;24.03;23.55;29.29;23.8;12.5;0;16.92;0
21;22.35;23.55;29.29;23.8;12.5;0;16.92;0
22;21.86;23.55;29.29;23.8;12.5;0;16.92;0
23;21.00;23.55;29.29;23.8;12.5;0;16.92;0
0;20.3;23.55;13.46;23.6;10.2;0;25.92;0
1;16.99;23.55;13.46;23.6;10.2;0;25.92;0
2;13.8;23.55;13.46;23.6;10.2;0;25.92;0
3;13.53;23.55;13.46;23.6;10.2;0;25.92;0
4;7.7;23.55;13.46;23.6;10.2;0;25.92;0
5;5.64;23.55;13.46;23.6;10.2;0;25.92;0
6;5.67;23.55;13.46;23.6;10.2;0;25.92;0
7;9.29;23.55;13.46;23.6;10.2;0;25.92;0
8;10.25;23.55;26.92;23.6;10.2;0;25.92;32.12
9;10.16;23.55;26.92;23.6;10.2;0;25.92;79
10;12.57;23.55;40.37;23.6;10.2;0;25.92;270
11;13.8;23.55;40.37;23.6;10.2;0;25.92;508.01
12;13.3;23.55;40.37;23.6;10.2;0;25.92;679.01
13;14.00;23.55;40.37;23.6;10.2;0;25.92;527.01
14;11.00;23.55;26.92;23.6;10.2;0;25.92;709.01
15;9.97;23.55;26.92;23.6;10.2;0;25.92;630.01
16;9.07;23.55;26.92;23.6;10.2;0;25.92;491.01
17;12.00;23.55;40.37;23.6;10.2;0;25.92;305.01
18;14.00;23.55;40.37;23.6;10.2;0;25.92;108
19;18.15;23.55;40.37;23.6;10.2;0;25.92;0
20;22.48;23.55;26.92;23.6;10.2;0;25.92;0
21;28.00;23.55;26.92;23.6;10.2;0;25.92;0
22;26.1;23.55;26.92;23.6;10.2;0;25.92;0
23;23.49;23.55;26.92;23.6;10.2;0;25.92;0
0;20.3;23.55;12.58;22.5;14.8;0;29.88;0
1;20.00;23.55;12.58;22.5;14.8;0;29.88;0
2;16.00;23.55;12.58;22.5;14.8;0;29.88;0
3;10.15;23.55;12.58;22.5;14.8;0;29.88;0
4;9.68;23.55;12.58;22.5;14.8;0;29.88;0
5;9.25;23.55;12.58;22.5;14.8;0;29.88;0
6;9.98;23.55;12.58;22.5;14.8;0;29.88;0
7;17.5;23.55;12.58;22.5;14.8;0;29.88;0
8;23.00;23.55;25.17;22.5;14.8;0;29.88;43.88
9;24.49;23.55;25.17;22.5;14.8;0;29.88;237
10;25.00;23.55;37.75;22.5;14.8;0;29.88;425.01
11;24.00;23.55;37.75;22.5;14.8;0;29.88;575.01
12;23.00;23.55;37.75;22.5;14.8;0;29.88;665.01
13;22.98;23.55;37.75;22.5;14.8;0;29.88;610.01
14;21.26;23.55;25.17;22.5;14.8;0;29.88;687.01
15;18.15;23.55;25.17;22.5;14.8;0;29.88;613.01
16;17.39;23.55;25.17;22.5;14.8;0;29.88;469.01
17;17.5;23.55;37.75;22.5;14.8;0;29.88;212
18;22.98;23.55;37.75;22.5;14.8;0;29.88;94
19;24.49;23.55;37.75;22.5;14.8;0;29.88;0
20;36.01;23.55;25.17;22.5;14.8;0;29.88;0
21;37.75;23.55;25.17;22.5;14.8;0;29.88;0
22;35.04;23.55;25.17;22.5;14.8;0;29.88;0
23;30.88;23.55;25.17;22.5;14.8;0;29.88;0
0;28.97;23.49;14.92;21.5;11.6;0;48.96;0
1;25.35;23.49;14.92;21.5;11.6;0;48.96;0
2;23.5;23.49;14.92;21.5;11.6;0;48.96;0
3;21.00;23.49;14.92;21.5;11.6;0;48.96;0
4;19.96;23.49;14.92;21.5;11.6;0;48.96;0
5;18.96;23.49;14.92;21.5;11.6;0;48.96;0
6;19.96;23.49;14.92;21.5;11.6;0;48.96;0
7;23.5;23.49;14.92;21.5;11.6;0;48.96;0
8;26.9;23.49;29.84;21.5;11.6;0;48.96;41
9;27.9;23.49;29.84;21.5;11.6;0;48.96;223
10;28.6;23.49;44.76;21.5;11.6;0;48.96;426.01
11;26.9;23.49;44.76;21.5;11.6;0;48.96;590.01
12;25.48;23.49;44.76;21.5;11.6;0;48.96;671.01
13;25.00;23.49;44.76;21.5;11.6;0;48.96;623.01
14;24.13;23.49;29.84;21.5;11.6;0;48.96;707.01
15;23.00;23.49;29.84;21.5;11.6;0;48.96;621.01
16;22.98;23.49;29.84;21.5;11.6;0;48.96;477.01
17;23.03;23.49;44.76;21.5;11.6;0;48.96;298.01
18;24.15;23.49;44.76;21.5;11.6;0;48.96;98
19;26.00;23.49;44.76;21.5;11.6;0;48.96;0
20;35.53;23.49;29.84;21.5;11.6;0;48.96;0
21;40.2;23.49;29.84;21.5;11.6;0;48.96;0
22;38.19;23.49;29.84;21.5;11.6;0;48.96;0
23;30.05;23.49;29.84;21.5;11.6;0;48.96;0
0;27.15;23.33;15.51;20.4;10.4;0;34.92;0
1;30.1;23.33;15.51;20.4;10.4;0;34.92;0
2;26.07;23.33;15.51;20.4;10.4;0;34.92;0
3;24.57;23.33;15.51;20.4;10.4;0;34.92;0
4;23.57;23.33;15.51;20.4;10.4;0;34.92;0
5;23.57;23.33;15.51;20.4;10.4;0;34.92;0
6;25.00;23.33;15.51;20.4;10.4;0;34.92;0
7;30.85;23.33;15.51;20.4;10.4;0;34.92;0
8;35.1;23.33;31.02;20.4;10.4;0;34.92;51
9;36.07;23.33;31.02;20.4;10.4;0;34.92;244
10;37.64;23.33;46.53;20.4;10.4;0;34.92;443.01
11;36.72;23.33;46.53;20.4;10.4;0;34.92;596.01
12;34.95;23.33;46.53;20.4;10.4;0;34.92;695.01
13;34.92;23.33;46.53;20.4;10.4;0;34.92;628.01
14;34.05;23.33;31.02;20.4;10.4;0;34.92;705.01
15;32.07;23.33;31.02;20.4;10.4;0;34.92;630.01
16;31.1;23.33;31.02;20.4;10.4;0;34.92;487.01
17;32.07;23.33;46.53;20.4;10.4;0;34.92;303.01
18;33.05;23.33;46.53;20.4;10.4;0;34.92;109
19;33.2;23.33;46.53;20.4;10.4;0;34.92;0
20;41.02;23.33;31.02;20.4;10.4;0;34.92;0
21;43.58;23.33;31.02;20.4;10.4;0;34.92;0
22;37.53;23.33;31.02;20.4;10.4;0;34.92;0
23;33.78;23.33;31.02;20.4;10.4;0;34.92;0
0;31.82;23.91;15.3;25.4;15.2;0;24.12;0
1;27.85;23.91;15.3;25.4;15.2;0;24.12;0
2;24.8;23.91;15.3;25.4;15.2;0;24.12;0
3;22.05;23.91;15.3;25.4;15.2;0;24.12;0
4;22.05;23.91;15.3;25.4;15.2;0;24.12;0
5;21.41;23.91;15.3;25.4;15.2;0;24.12;0
6;22.00;23.91;15.3;25.4;15.2;0;24.12;0
7;23.8;23.91;15.3;25.4;15.2;0;24.12;0
8;26.3;23.91;30.59;25.4;15.2;0;24.12;60
9;28.51;23.91;30.59;25.4;15.2;0;24.12;255
10;28.95;23.91;45.89;25.4;15.2;0;24.12;445.01
11;28.35;23.91;45.89;25.4;15.2;0;24.12;593.01
12;26.00;23.91;45.89;25.4;15.2;0;24.12;697.01
13;25.3;23.91;45.89;25.4;15.2;0;24.12;644.01
14;24.3;23.91;30.59;25.4;15.2;0;24.12;707.01
15;22.05;23.91;30.59;25.4;15.2;0;24.12;635.01
16;21.99;23.91;30.59;25.4;15.2;0;24.12;398
17;21.9;23.91;45.89;25.4;15.2;0;24.12;305.01
18;23.03;23.91;45.89;25.4;15.2;0;24.12;110
19;24.35;23.91;45.89;25.4;15.2;0;24.12;0
20;28.35;23.91;30.59;25.4;15.2;0;24.12;0
21;30.24;23.91;30.59;25.4;15.2;0;24.12;0
22;27.85;23.91;30.59;25.4;15.2;0;24.12;0
23;26.9;23.91;30.59;25.4;15.2;0;24.12;0
0;25.3;23.78;15.2;21.5;9.6;0;28.08;0
1;21.7;23.78;15.2;21.5;9.6;0;28.08;0
2;20.00;23.78;15.2;21.5;9.6;0;28.08;0
3;17.08;23.78;15.2;21.5;9.6;0;28.08;0
4;16.00;23.78;15.2;21.5;9.6;0;28.08;0
5;15.00;23.78;15.2;21.5;9.6;0;28.08;0
6;18.00;23.78;15.2;21.5;9.6;0;28.08;0
7;21.7;23.78;15.2;21.5;9.6;0;28.08;0
8;25.00;23.78;30.4;21.5;9.6;0;28.08;67
9;25.8;23.78;30.4;21.5;9.6;0;28.08;262
10;25.27;23.78;45.6;21.5;9.6;0;28.08;450.01
11;22.32;23.78;45.6;21.5;9.6;0;28.08;570.01
12;19.99;23.78;45.6;21.5;9.6;0;28.08;629.01
13;17.00;23.78;45.6;21.5;9.6;0;28.08;645.01
14;16.3;23.78;30.4;21.5;9.6;0;28.08;693.01
15;12.61;23.78;30.4;21.5;9.6;0;28.08;637
16;9.56;23.78;30.4;21.5;9.6;0;28.08;491.01
17;13.74;23.78;45.6;21.5;9.6;0;28.08;209
18;18.5;23.78;45.6;21.5;9.6;0;28.08;97
19;23.03;23.78;45.6;21.5;9.6;0;28.08;0
20;29.49;23.78;30.4;21.5;9.6;0;28.08;0
21;35.46;23.78;30.4;21.5;9.6;0;28.08;0
22;31.71;23.78;30.4;21.5;9.6;0;28.08;0
23;30.5;23.78;30.4;21.5;9.6;0;28.08;0
0;28.51;23.4;15.28;23.4;9.6;0;27;0
1;29.1;23.4;15.28;23.4;9.6;0;27;0
2;25.5;23.4;15.28;23.4;9.6;0;27;0
3;24.51;23.4;15.28;23.4;9.6;0;27;0
4;24.03;23.4;15.28;23.4;9.6;0;27;0
5;24.00;23.4;15.28;23.4;9.6;0;27;0
6;24.03;23.4;15.28;23.4;9.6;0;27;0
7;25.3;23.4;15.28;23.4;9.6;0;27;0
8;25.8;23.4;30.55;23.4;9.6;0;27;78
9;26.00;23.4;30.55;23.4;9.6;0;27;273.01
10;28.06;23.4;45.83;23.4;9.6;0;27;435.01
11;28.25;23.4;45.83;23.4;9.6;0;27;598.01
12;26.00;23.4;45.83;23.4;9.6;0;27;544
13;25.3;23.4;45.83;23.4;9.6;0;27;583.01
14;25.06;23.4;30.55;23.4;9.6;0;27;568.01
15;24.94;23.4;30.55;23.4;9.6;0;27;473.01
16;25.00;23.4;30.55;23.4;9.6;0;27;337
17;25.03;23.4;45.83;23.4;9.6;0;27;142
18;27.02;23.4;45.83;23.4;9.6;0;27;47
19;31.01;23.4;45.83;23.4;9.6;0;27;0
20;37.61;23.4;30.55;23.4;9.6;0;27;0
21;35.00;23.4;30.55;23.4;9.6;0;27;0
22;34.7;23.4;30.55;23.4;9.6;0;27;0
23;33.53;23.4;30.55;23.4;9.6;0;27;0
0;30.79;23.4;13.74;18.3;11.1;0;19.08;0
1;31.5;23.4;13.74;18.3;11.1;0;19.08;0
2;25.5;23.4;13.74;18.3;11.1;0;19.08;0
3;25.00;23.4;13.74;18.3;11.1;0;19.08;0
4;24.4;23.4;13.74;18.3;11.1;0;19.08;0
5;24.4;23.4;13.74;18.3;11.1;0;19.08;0
6;24.4;23.4;13.74;18.3;11.1;0;19.08;0
7;25.00;23.4;13.74;18.3;11.1;0;19.08;0
8;24.84;23.4;27.47;18.3;11.1;0;19.08;23
9;24.59;23.4;27.47;18.3;11.1;0;19.08;46
10;25.00;23.4;41.21;18.3;11.1;0;19.08;80
11;25.00;23.4;41.21;18.3;11.1;0;19.08;101
12;25.00;23.4;41.21;18.3;11.1;0;19.08;271
13;24.00;23.4;41.21;18.3;11.1;0;19.08;137
14;24.00;23.4;27.47;18.3;11.1;0;19.08;140
15;24.4;23.4;27.47;18.3;11.1;0;19.08;279
16;23.00;23.4;27.47;18.3;11.1;0;19.08;278
17;22.9;23.4;41.21;18.3;11.1;0;19.08;135
18;25.71;23.4;41.21;18.3;11.1;0;19.08;89
19;31.97;23.4;41.21;18.3;11.1;0;19.08;0
20;34.86;23.4;27.47;18.3;11.1;0;19.08;0
21;34.02;23.4;27.47;18.3;11.1;0;19.08;0
22;33.17;23.4;27.47;18.3;11.1;0;19.08;0
23;31.99;23.4;27.47;18.3;11.1;0;19.08;0
0;30.41;23.4;12.65;22.8;11;0;10.08;0
1;25.8;23.4;12.65;22.8;11;0;10.08;0
2;25.00;23.4;12.65;22.8;11;0;10.08;0
3;25.09;23.4;12.65;22.8;11;0;10.08;0
4;24.77;23.4;12.65;22.8;11;0;10.08;0
5;24.47;23.4;12.65;22.8;11;0;10.08;0
6;25.3;23.4;12.65;22.8;11;0;10.08;0
7;28.01;23.4;12.65;22.8;11;0;10.08;0
8;35.5;23.4;25.31;22.8;11;0;10.08;62.05
9;37.68;23.4;25.31;22.8;11;0;10.08;283
10;37.64;23.4;37.96;22.8;11;0;10.08;478.01
11;35.5;23.4;37.96;22.8;11;0;10.08;607.01
12;34.54;23.4;37.96;22.8;11;0;10.08;660.01
13;33.48;23.4;37.96;22.8;11;0;10.08;692.01
14;35.04;23.4;25.31;22.8;11;0;10.08;572.01
15;33.53;23.4;25.31;22.8;11;0;10.08;625.01
16;32.02;23.4;25.31;22.8;11;0;10.08;478.01
17;32.09;23.4;37.96;22.8;11;0;10.08;317
18;33.64;23.4;37.96;22.8;11;0;10.08;129
19;35.17;23.4;37.96;22.8;11;0;10.08;0
20;39.09;23.4;25.31;22.8;11;0;10.08;0
21;40.5;23.4;25.31;22.8;11;0;10.08;0
22;37.64;23.4;25.31;22.8;11;0;10.08;0
23;35.04;23.4;25.31;22.8;11;0;10.08;0
0;33.99;23.25;14.9;18.7;10.5;0;16.92;0
1;28.6;23.25;14.9;18.7;10.5;0;16.92;0
2;28.1;23.25;14.9;18.7;10.5;0;16.92;0
3;25.8;23.25;14.9;18.7;10.5;0;16.92;0
4;25.5;23.25;14.9;18.7;10.5;0;16.92;0
5;25.5;23.25;14.9;18.7;10.5;0;16.92;0
6;27.55;23.25;14.9;18.7;10.5;0;16.92;0
7;29.5;23.25;14.9;18.7;10.5;0;16.92;0
8;35.68;23.25;29.8;18.7;10.5;0;16.92;69.45
9;37.84;23.25;29.8;18.7;10.5;0;16.92;196
10;38.51;23.25;44.7;18.7;10.5;0;16.92;264
11;37.27;23.25;44.7;18.7;10.5;0;16.92;230
12;36.84;23.25;44.7;18.7;10.5;0;16.92;460
13;37.1;23.25;44.7;18.7;10.5;0;16.92;316
14;36.84;23.25;29.8;18.7;10.5;0;16.92;346
15;35.02;23.25;29.8;18.7;10.5;0;16.92;87
16;35.01;23.25;29.8;18.7;10.5;0;16.92;46
17;35.00;23.25;44.7;18.7;10.5;0;16.92;76
18;36.56;23.25;44.7;18.7;10.5;0;16.92;12
19;37.05;23.25;44.7;18.7;10.5;0;16.92;0
20;40.34;23.25;29.8;18.7;10.5;0;16.92;0
21;44.5;23.25;29.8;18.7;10.5;0;16.92;0
22;40.6;23.25;29.8;18.7;10.5;0;16.92;0
23;38.15;23.25;29.8;18.7;10.5;0;16.92;0
0;36.16;24.07;15.05;19.2;12;0;7.92;0
1;37.55;24.07;15.05;19.2;12;0;7.92;0
2;37.21;24.07;15.05;19.2;12;0;7.92;0
3;36.84;24.07;15.05;19.2;12;0;7.92;0
4;36.84;24.07;15.05;19.2;12;0;7.92;0
5;36.84;24.07;15.05;19.2;12;0;7.92;0
6;37.52;24.07;15.05;19.2;12;0;7.92;0
7;38.37;24.07;15.05;19.2;12;0;7.92;0
8;40.05;24.07;30.1;19.2;12;0;7.92;102
9;39.46;24.07;30.1;19.2;12;0;7.92;190
10;39.00;24.07;45.14;19.2;12;0;7.92;447.01
11;37.84;24.07;45.14;19.2;12;0;7.92;622.01
12;37.55;24.07;45.14;19.2;12;0;7.92;241
13;37.52;24.07;45.14;19.2;12;0;7.92;233
14;36.84;24.07;30.1;19.2;12;0;7.92;545.01
15;36.19;24.07;30.1;19.2;12;0;7.92;505.01
16;36.21;24.07;30.1;19.2;12;0;7.92;446.01
17;36.39;24.07;45.14;19.2;12;0;7.92;355.01
18;37.21;24.07;45.14;19.2;12;0;7.92;116
19;37.87;24.07;45.14;19.2;12;0;7.92;0
20;43.05;24.07;30.1;19.2;12;0;7.92;0
21;48.28;24.07;30.1;19.2;12;0;7.92;0
22;45.00;24.07;30.1;19.2;12;0;7.92;0
23;38.87;24.07;30.1;19.2;12;0;7.92;0
0;38.71;23.89;14.95;18.8;10.8;0;11.16;0
1;38.88;23.89;14.95;18.8;10.8;0;11.16;0
2;38.17;23.89;14.95;18.8;10.8;0;11.16;0
3;37.77;23.89;14.95;18.8;10.8;0;11.16;0
4;37.54;23.89;14.95;18.8;10.8;0;11.16;0
5;37.54;23.89;14.95;18.8;10.8;0;11.16;0
6;37.77;23.89;14.95;18.8;10.8;0;11.16;0
7;38.42;23.89;14.95;18.8;10.8;0;11.16;0
8;41.18;23.89;29.89;18.8;10.8;0;11.16;95
9;41.58;23.89;29.89;18.8;10.8;0;11.16;299
10;41.52;23.89;44.84;18.8;10.8;0;11.16;494.01
11;40.51;23.89;44.84;18.8;10.8;0;11.16;648.01
12;39.51;23.89;44.84;18.8;10.8;0;11.16;734.01
13;39.51;23.89;44.84;18.8;10.8;0;11.16;736.01
14;39.01;23.89;29.89;18.8;10.8;0;11.16;755.01
15;38.17;23.89;29.89;18.8;10.8;0;11.16;670.01
16;38.07;23.89;29.89;18.8;10.8;0;11.16;524.01
17;37.69;23.89;44.84;18.8;10.8;0;11.16;340.01
18;37.69;23.89;44.84;18.8;10.8;0;11.16;141
19;37.69;23.89;44.84;18.8;10.8;0;11.16;0
20;39.63;23.89;29.89;18.8;10.8;0;11.16;0
21;40.01;23.89;29.89;18.8;10.8;0;11.16;0
22;38.88;23.89;29.89;18.8;10.8;0;11.16;0
23;37.69;23.89;29.89;18.8;10.8;0;11.16;0
0;36.38;22.48;14.86;18.7;12.4;0;9;0
1;26.3;22.48;14.86;18.7;12.4;0;9;0
2;22.81;22.48;14.86;18.7;12.4;0;9;0
3;22.89;22.48;14.86;18.7;12.4;0;9;0
4;24.09;22.48;14.86;18.7;12.4;0;9;0
5;24.06;22.48;14.86;18.7;12.4;0;9;0
6;25.00;22.48;14.86;18.7;12.4;0;9;0
7;29.62;22.48;14.86;18.7;12.4;0;9;0
8;32.07;22.48;29.72;18.7;12.4;0;9;100
9;34.88;22.48;29.72;18.7;12.4;0;9;300
10;36.12;22.48;44.58;18.7;12.4;0;9;492.01
11;37.11;22.48;44.58;18.7;12.4;0;9;650.01
12;37.17;22.48;44.58;18.7;12.4;0;9;744.01
13;37.53;22.48;44.58;18.7;12.4;0;9;749.01
14;37.58;22.48;29.72;18.7;12.4;0;9;764.01
15;37.17;22.48;29.72;18.7;12.4;0;9;668.01
16;37.17;22.48;29.72;18.7;12.4;0;9;526.01
17;37.17;22.48;44.58;18.7;12.4;0;9;342.01
18;37.58;22.48;44.58;18.7;12.4;0;9;144
19;38.17;22.48;44.58;18.7;12.4;0;9;0
20;42.5;22.48;29.72;18.7;12.4;0;9;0
21;41.53;22.48;29.72;18.7;12.4;0;9;0
22;40.07;22.48;29.72;18.7;12.4;0;9;0
23;39.01;22.48;29.72;18.7;12.4;0;9;0
0;38.1;21.92;14.69;15.1;10;4;14.04;0
1;37.33;21.92;14.69;15.1;10;4;14.04;0
2;37.17;21.92;14.69;15.1;10;4;14.04;0
3;36.09;21.92;14.69;15.1;10;4;14.04;0
4;35.24;21.92;14.69;15.1;10;4;14.04;0
5;35.02;21.92;14.69;15.1;10;4;14.04;0
6;34.99;21.92;14.69;15.1;10;4;14.04;0
7;34.41;21.92;14.69;15.1;10;4;14.04;0
8;33.56;21.92;29.38;15.1;10;4;14.04;104
9;34.83;21.92;29.38;15.1;10;4;14.04;309
10;34.94;21.92;44.06;15.1;10;4;14.04;495.01
11;35.01;21.92;44.06;15.1;10;4;14.04;656.01
12;34.83;21.92;44.06;15.1;10;4;14.04;753.01
13;34.41;21.92;44.06;15.1;10;4;14.04;771.01
14;34.83;21.92;29.38;15.1;10;4;14.04;781.01
15;34.41;21.92;29.38;15.1;10;4;14.04;676.01
16;31.51;21.92;29.38;15.1;10;4;14.04;536.01
17;30.07;21.92;44.06;15.1;10;4;14.04;330
18;31.34;21.92;44.06;15.1;10;4;14.04;130
19;37.17;21.92;44.06;15.1;10;4;14.04;0
20;38.53;21.92;29.38;15.1;10;4;14.04;0
21;40.61;21.92;29.38;15.1;10;4;14.04;0
22;40.67;21.92;29.38;15.1;10;4;14.04;0
23;38.91;21.92;29.38;15.1;10;4;14.04;0
0;38.31;21.92;12.96;14.6;10;15.9;6.84;0
1;37.68;21.92;12.96;14.6;10;15.9;6.84;0
2;35.01;21.92;12.96;14.6;10;15.9;6.84;0
3;30.01;21.92;12.96;14.6;10;15.9;6.84;0
4;27.8;21.92;12.96;14.6;10;15.9;6.84;0
5;27.8;21.92;12.96;14.6;10;15.9;6.84;0
6;27.4;21.92;12.96;14.6;10;15.9;6.84;0
7;27.5;21.92;12.96;14.6;10;15.9;6.84;0
8;27.1;21.92;25.92;14.6;10;15.9;6.84;36
9;25.89;21.92;25.92;14.6;10;15.9;6.84;60
10;26.87;21.92;38.89;14.6;10;15.9;6.84;169
11;27.1;21.92;38.89;14.6;10;15.9;6.84;263
12;25.78;21.92;38.89;14.6;10;15.9;6.84;332
13;24.43;21.92;38.89;14.6;10;15.9;6.84;71
14;23.00;21.92;25.92;14.6;10;15.9;6.84;261
15;20.9;21.92;25.92;14.6;10;15.9;6.84;338
16;14.00;21.92;25.92;14.6;10;15.9;6.84;255
17;14.00;21.92;38.89;14.6;10;15.9;6.84;240
18;19.5;21.92;38.89;14.6;10;15.9;6.84;157
19;26.00;21.92;38.89;14.6;10;15.9;6.84;0
20;32.08;21.92;25.92;14.6;10;15.9;6.84;0
21;33.01;21.92;25.92;14.6;10;15.9;6.84;0
22;33.01;21.92;25.92;14.6;10;15.9;6.84;0
23;30.18;21.92;25.92;14.6;10;15.9;6.84;0
0;27.19;21.92;12.04;17.4;12;0;14.04;0
1;22.9;21.92;12.04;17.4;12;0;14.04;0
2;20.23;21.92;12.04;17.4;12;0;14.04;0
3;20.17;21.92;12.04;17.4;12;0;14.04;0
4;20.00;21.92;12.04;17.4;12;0;14.04;0
5;19.92;21.92;12.04;17.4;12;0;14.04;0
6;22.4;21.92;12.04;17.4;12;0;14.04;0
7;25.88;21.92;12.04;17.4;12;0;14.04;0
8;32.17;21.92;24.07;17.4;12;0;14.04;73
9;32.69;21.92;24.07;17.4;12;0;14.04;279
10;32.17;21.92;36.11;17.4;12;0;14.04;467.01
11;28.00;21.92;36.11;17.4;12;0;14.04;647.01
12;25.88;21.92;36.11;17.4;12;0;14.04;648.01
13;24.83;21.92;36.11;17.4;12;0;14.04;651
14;25.00;21.92;24.07;17.4;12;0;14.04;690.01
15;25.23;21.92;24.07;17.4;12;0;14.04;520
16;25.5;21.92;24.07;17.4;12;0;14.04;536.01
17;25.00;21.92;36.11;17.4;12;0;14.04;324
18;25.5;21.92;36.11;17.4;12;0;14.04;104
19;25.91;21.92;36.11;17.4;12;0;14.04;0
20;33.31;21.92;24.07;17.4;12;0;14.04;0
21;37.03;21.92;24.07;17.4;12;0;14.04;0
22;35.00;21.92;24.07;17.4;12;0;14.04;0
23;33.51;21.92;24.07;17.4;12;0;14.04;0
0;30.24;19.42;14.19;16.8;11.6;0;18;0
1;24.2;19.42;14.19;16.8;11.6;0;18;0
2;22.99;19.42;14.19;16.8;11.6;0;18;0
3;22.16;19.42;14.19;16.8;11.6;0;18;0
4;21.8;19.42;14.19;16.8;11.6;0;18;0
5;21.8;19.42;14.19;16.8;11.6;0;18;0
6;22.94;19.42;14.19;16.8;11.6;0;18;0
7;24.2;19.42;14.19;16.8;11.6;0;18;0
8;30.01;19.42;28.38;16.8;11.6;0;18;122
9;32.33;19.42;28.38;16.8;11.6;0;18;325
10;31.37;19.42;42.57;16.8;11.6;0;18;516.01
11;29.32;19.42;42.57;16.8;11.6;0;18;674.01
12;28.48;19.42;42.57;16.8;11.6;0;18;766.01
13;25.59;19.42;42.57;16.8;11.6;0;18;783.01
14;25.00;19.42;28.38;16.8;11.6;0;18;777.01
15;24.51;19.42;28.38;16.8;11.6;0;18;680.01
16;24.02;19.42;28.38;16.8;11.6;0;18;483
17;26.09;19.42;42.57;16.8;11.6;0;18;274
18;30.04;19.42;42.57;16.8;11.6;0;18;165
19;32.94;19.42;42.57;16.8;11.6;0;18;0
20;38.23;19.42;28.38;16.8;11.6;0;18;0
21;39.43;19.42;28.38;16.8;11.6;0;18;0
22;37.31;19.42;28.38;16.8;11.6;0;18;0
23;35.00;19.42;28.38;16.8;11.6;0;18;0
0;32.5;18.25;14.24;16.1;12.4;0.5;19.08;0
1;30.87;18.25;14.24;16.1;12.4;0.5;19.08;0
2;24.00;18.25;14.24;16.1;12.4;0.5;19.08;0
