Hora;Precios_Mercado(euro/MW);Precio_CO2(euro/Tn);Demanda(GWh);Temperatura_max(.C);Temperatura_min(.C);Precipitacion(l/m2);Velocidad_media(km/h);Irradiancia (W/m2)
9;32.09;24.86;26.15;15.5;4.1;0;6.84;90
10;34.27;24.86;39.22;15.5;4.1;0;6.84;100
11;37.53;24.86;39.22;15.5;4.1;0;6.84;90
12;38.99;24.86;39.22;15.5;4.1;0;6.84;224
13;38.15;24.86;39.22;15.5;4.1;0;6.84;454.01
14;35.37;24.86;26.15;15.5;4.1;0;6.84;6
15;34.44;24.86;26.15;15.5;4.1;0;6.84;130
16;36.1;24.86;26.15;15.5;4.1;0;6.84;344.01
17;40.59;24.86;39.22;15.5;4.1;0;6.84;98.01
18;44.68;24.86;39.22;15.5;4.1;0;6.84;0
19;46.16;24.86;39.22;15.5;4.1;0;6.84;0
20;48.53;24.86;26.15;15.5;4.1;0;6.84;0
21;52.48;24.86;26.15;15.5;4.1;0;6.84;0
22;53.29;24.86;26.15;15.5;4.1;0;6.84;0
23;49.5;24.86;26.15;15.5;4.1;0;6.84;0
0;46.01;24.11;12.63;17.3;2.7;0;5.04;0
1;47.85;24.11;12.63;17.3;2.7;0;5.04;0
2;41.48;24.11;12.63;17.3;2.7;0;5.04;0
3;34.00;24.11;12.63;17.3;2.7;0;5.04;0
4;31.92;24.11;12.63;17.3;2.7;0;5.04;0
5;31.75;24.11;12.63;17.3;2.7;0;5.04;0
6;31.5;24.11;12.63;17.3;2.7;0;5.04;0
7;33.18;24.11;12.63;17.3;2.7;0;5.04;0
8;43.13;24.11;25.27;17.3;2.7;0;5.04;0
9;44.52;24.11;25.27;17.3;2.7;0;5.04;18
10;44.96;24.11;37.9;17.3;2.7;0;5.04;198.01
11;44.00;24.11;37.9;17.3;2.7;0;5.04;238.01
12;42.46;24.11;37.9;17.3;2.7;0;5.04;300.01
13;41.3;24.11;37.9;17.3;2.7;0;5.04;546.01
14;40.51;24.11;25.27;17.3;2.7;0;5.04;88
15;41.22;24.11;25.27;17.3;2.7;0;5.04;154
16;43.28;24.11;25.27;17.3;2.7;0;5.04;80
17;43.68;24.11;37.9;17.3;2.7;0;5.04;30
18;47.9;24.11;37.9;17.3;2.7;0;5.04;0
19;48.91;24.11;37.9;17.3;2.7;0;5.04;0
20;49.01;24.11;25.27;17.3;2.7;0;5.04;0
21;48.00;24.11;25.27;17.3;2.7;0;5.04;0
22;48.00;24.11;25.27;17.3;2.7;0;5.04;0
23;45.42;24.11;25.27;17.3;2.7;0;5.04;0
0;44.01;24.44;15.92;16.8;3.1;0;2.16;0
1;42.00;24.44;15.92;16.8;3.1;0;2.16;0
2;37.48;24.44;15.92;16.8;3.1;0;2.16;0
3;36.07;24.44;15.92;16.8;3.1;0;2.16;0
4;34.41;24.44;15.92;16.8;3.1;0;2.16;0
5;33.07;24.44;15.92;16.8;3.1;0;2.16;0
6;36.11;24.44;15.92;16.8;3.1;0;2.16;0
7;39.77;24.44;15.92;16.8;3.1;0;2.16;0
8;48.42;24.44;31.83;16.8;3.1;0;2.16;0
9;51.65;24.44;31.83;16.8;3.1;0;2.16;8
10;52.6;24.44;47.75;16.8;3.1;0;2.16;2
11;52.00;24.44;47.75;16.8;3.1;0;2.16;0
